Food commodity ITEM,Product contains,Sector contains,Product not contains,Carbon Footprint kg CO2eq/kg or l of food ITEM
BEER IN CAN,,,,0.69
BEER IN GLASS,,,,0.96
BEER MODULAR CAN,,,,0.53
CHOCOLATE OR CREAM FILLED COOKIES**,,,,1.53
SIMPLE COOKIES**,,,,1.39
MINERAL WATER*,,,,0.49
BREAD MULTICEREAL**,multi or grain,bread,,0.7
BREAD PLAIN**,plain,bread,,0.89
BREAD WHOLE**,whole or brown,bread,,0.77
BREAD FROZEN (F)*,frozen,bread,,1.31
CORNFLAKES*,,cereal,,2.64
DARK CHOCOLATE,"chocolate,dark",,,2.71
MILK CHOCOLATE,"chocolate,milk",,,3.6
COFFEE GROUND,,,,5.13
COFFEE PARCHMENT,,,,8.29
COFFEE DRIP FILTERED (L),,,,0.6
COFFEE SOLUBLE POWDER (L),,,,0.33
ESPRESSO (L),,,,0.55
FLAVORED CRACKERS**,,,,0.93
PLAIN CRACKERS**,,,,1.35
WHOLEGRAIN CRACKERS**,,,,0.97
CRISPBREAD**,,,,1.35
KETCHUP,ketchup,,,1.46
MAYONNAISE,mayonnaise,,,2.04
TEMPE',,,,1.1
EGG PASTA*,,,,3.15
RASPBERRIES (F)*,"raspberries,frozen",,juice,1.18
APPLE JUICE (I),"apple,juice",,,2.84
BLUEBERRY JUICE (I),"blueberry,juice",,,3
CRANBERRY JUICE (I),"cranberry,juice",,,2.88
FIG JUICE (I),"fig,juice",,,3.2
KIWI JUICE (I),"kiwi,juice",,,2.84
MANGO JUICE (I),"mango,juice",,,2.96
PINEAPPLE JUICE (I),"pineapple,juice",,,2.78
STRAWBERRY JUICE (I),"strawberry,juice",,,2.68
ORANGE JUICE,"orange,juice",,,0.46
PEAR JUICE,"pear,juice",,,0.49
BUCKWHEAT FLOUR,,,,1.96
DURUM WHEAT,,,,0.47
GRAHAM FLOUR,,,,0.47
MAIZE FLOUR,,,,1.31
MILLET FLOUR,,,,1.37
OAT MEAL,,,,0.87
SORGHUM FLOUR,,,,1.33
WHEAT PLAIN FLOUR,,,,0.52
WHOLE WHEAT FLOUR,,,,0.36
CHOCOLATE,,,,6.6
ICE CREAM,,,,1.02
VANILLA,,,,4.3
AZUKI BEAN FLOUR,,,,1.32
MUNG BEAN FLOUR,,,,1.49
SOY MEAL,,,,0.62
BEANS IN CAN,baked beans,,,0.11
GREEN BEANS IN CAN,"green beans,can",,,1.45
BEANS (F),,,,1.77
GREEN BEANS (F),beans,,baked,2.74
MARGARINE*,margarine,,,1.39
ALMOND COVERED WITH CHOCOLATE,,,,4.8
HAZELNUT COVERED WITH CHOCOLATE,,,,3.43
ALMOND PASTE,,,,2.98
HAZELNUT CREAM,,,,2.71
HAZELNUT PASTE,,,,1.69
PEANUT BUTTER,,,,1.15
PEANUT PASTE,,,,1.84
OLIVE OIL,olive oil,,,3.27
PALM OIL,palm oil,,,2.43
PEANUT OIL,peanut oil,,,2.9
RAPESEED OIL,rapeseed oil,,,1.79
SOYBEAN OIL,soybean oil,,,1.79
SUNFLOWER OIL,sunflower oil,,,0.98
PASTA*,,"food cupboard,pasta",,1.21
PESTO,pesto,sauce,,2.71
PESTO WITHOUT GARLIC,,,,2.72
BEET SUGAR,,,,0.94
CANE SUGAR,,,,0.62
CAKES AND CROISSANT**,,,,2.14
COCOA CAKES AND CROISSANT**,,,,1.94
TOMATO CHOPPED,"tomato,chopped",,,1.47
TOMATO PEELED,,,,1.3
TOMATO PUREE,tomato puree,,,1.03
TOMATO & BASIL,,,,1.14
TOMATO ARRABBIATA,,,,1.24
CARROTS CANNED,,,,1.6
CORN CANNED,,,,1.36
CARROTS (F),,,,0.27
ZUCCHINI (F),,,,1.35
SOY CREAM*,,,,1.62
ALMOND MILK,"milk,almond",,,0.42
COCONUT MILK,"milk,coconut",,,0.41
RICE MILK,"milk,rice",,,0.66
SOY MILK,"milk,soy",,,0.78
QUORNE,,quorn,,2.5
SOY BURGER,,,,1.48
TOFU,,,,2.27
SOY YOGURT*,,,,1.36
WINE RED,,,,0.87
WINE WHITE,,,,0.44
YEAST COMPRESSED*,,,,0.82
YEAST DRIED*,,,,3.29
YEAST LIQUID*,,,,0.5
BEEF BONE FREE MEAT*,beef,,vegetarian,25.75
BEEF MEAT WITH BONE*,,,,17.96
BUFFALO BONE FREE MEAT*,,,,78.8
BUTTER*,butter,,,8.48
CREAM,cream,,,5.45
MASCARPONE,mascarpone,,,5.7
MOZZARELLA,mozzarella,,,8.2
RICOTTA,ricotta,,,3.4
STRACCHINO,stracchino,,,4.92
ASIAGO,asiago,,,10.24
CAMEMBERT,camembert,,,7.55
CEDDAR,cheddar,,,11.21
CHEESE,,,,8.93
CHEESE SEMI-HARD,,,,8.65
EMMENTAL,emmental,,,8.2
GOAT CHEESE,"goat,cheese",,,8.35
GRANA PADANO,grana padano,,,15.34
PARMIGIANO REGGIANO,parmigiano or parmesan,,,12.54
PECORINO,pecorino,,,17.15
MEALWORMS*,,,,2.84
EGGS*,eggs,eggs,,3.2
HONEY*,honey,honey,,1.74
KANGAROO MEAT*,,,,4.1
LAMB BONE FREE MEAT*,lamb,,vegetarian,25.23
LAMB MEAT WITH BONE*,,,,16.7
BUFFALO MILK,,,,3.57
COW MILK,milk,,,1.31
GOAT MILK,,,,1.44
PORK BONE FREE MEAT*,pork,pork,vegetarian,5.72
BACON,bacon,,,4.03
NECK,,,,4.03
PORK HAM,ham,,vegetarian,7.95
PORK SAUSAGES,"sausage,pork",sausage,vegetarian,17.94
PORK MEAT WITH BONE*,,,,3.44
CHICKEN BONE FREE MEAT,chicken,chicken,vegetarian,3.68
EMU BONE FREE MEAT,,,,1.5
DUCK MEAT BONE FREE*,duck,duck,vegetarian,4.1
TURKEY MEAT BONE FREE,turkey,turkey,vegetarian,4.08
CHICKEN MEAT WITH BONE,,,,1
DUCK MEAT WITH BONE*,,,,2.07
TURKEY MEAT WITH BONE,,,,2.13
RABBIT MEAT WITH BONE*,,,,4.31
SNAILS*,,,,0.73
YOGURT FLAVOURED**,,,,2.85
YOGURT LACTOSE FREE,,,,3.47
YOGURT WHITE,,,,1.69
COFFEE GREEN*,,,,0.49
DATE,,,,0.6
RAISIN,raisin,raisin,,0.81
EXOTIC FRUIT (G),,,,2.43
RASPBERRY (G),,,,7.35
STRAWBERRY (G),,,,2.88
AVOCADO (I),,,,1.09
BANANA (I),,,,0.82
COCONUT (I),coconut,,,1.78
EXOTIC FRUIT (I),,,,2.43
PINEAPPLE (I),,,,0.55
POMEGRANATE (I),,,,1.17
STRAWBERRY (I),,,,0.84
MELON (g)*,,,,1.43
CLEMENTINE,clementines,,,0.41
LEMON,lemons,,juice,0.22
LIME,limes,,juice,0.22
MANDARIN,,,,0.45
ORANGE,oranges,,juice,0.3
POMELO,,,,0.51
